ID,QuestionContent,AAnswer,BAnswer,CAnswer,DAnswer,Answer,Explanation
11,"Khái niệm ""Stride"" trong Cửa sổ trượt mang ý nghĩa kỹ thuật gì và nó tác động lớn đến đầu ra như thế nào?","Quy định khoảng cách di chuyển.","Công cụ thiết lập màu sắc cho không gian màu đồ họa.","Tự động cắt chém phần ảnh ở vị trí tại ngay tọa độ tâm.","Chỉ khoảng thời gian tạm dừng của hệ thống quét tiến trình máy.",A,"Stride là bước trượt (khoảng cách di chuyển của Kernel), Stride lớn (>1) Kernel sẽ nhảy cóc làm giảm đi kích thước ảnh xuất ra."
12,"Việc cài đặt thông số Bước nhảy (Stride) lớn hơn 1 thường được ứng dụng mạnh mẽ trong kiến trúc mạng Neural (CNN) để làm tác vụ gì?","Gây dựng ra các lớp mạng thần kinh ảo che đậy hoàn toàn hệ thống.","Auto bóc tách tự động các chi tiết rìa làm nén hệ màu đa sắc nét.","Trực tiếp khuếch đại làm tăng thêm độ phân giải của cả tấm đồ thị.","Làm Pooling giảm dữ liệu.",D,"Bước trượt nhảy cóc bỏ qua pixel ở giữa dẫn tới giảm kích thước cấu trúc ảnh, chiêu trò này dùng làm lớp Pooling giảm tải dữ liệu trong mạng CNN."
13,"Triết lý cốt lõi của bộ lọc Mean Filter (Lọc Trung bình) được mô tả theo xu hướng hoạt động như thế nào?","""Dân chủ hóa"" hình ảnh, mọi pixel quan trọng như nhau.","Tập trung tối đa cho những pixel đang nằm sát ngoài rìa biên dạng.","Thay thế ngẫu nhiên mọi điểm ảnh bằng một dải tần sóng cố định.","Khởi phát bộ màu làm thay đổi trạng thái chói sáng của khu trung tâm.",A,"Mean filter quan niệm ""dân chủ hóa"", 1 pixel tâm ngang hàng 8 pixel hàng xóm (ví dụ nhân 1/9 đều nhau), gom lại chia trung bình."
14,"Nhược điểm kinh điển do đặc tính ""cào bằng"" của bộ Lọc Trung bình là hiện tượng gì trên bức ảnh xuất?","Cháy sáng mây trời.","Đảo ngược màu sắc.","Nhòe biên rất thô.","Nhiễu hạt muối tiêu.",C,"Do các điểm đều tính trọng số như nhau nên Lọc Trung bình làm trơn tốt nhưng làm điểm ảnh bị cục súc, nhòe các cạnh và biên cực kì thô bạo."
15,"Để khắc phục nhược điểm thô bạo của Lọc Trung bình, bộ Lọc Gaussian sử dụng triết lý phân bổ trọng số mang tên gì?","Cô lập hạt nhiễu.","Trung tâm hóa viền.","Hội tụ ánh sáng.","Trọng tâm hóa.",D,"Gaussian sử dụng triết lý ""Trọng tâm hóa"": pixel càng gần tâm (pixel xét) thì trọng số càng lớn, xa tâm trọng số giảm dần."
16,"So sánh thực tế về kết quả thẩm mỹ đầu ra, bộ Lọc Gaussian tạo hiệu ứng xuất sắc tương đồng với thao tác nhiếp ảnh thông thường nào?","Thêm khung mờ ảo xung quanh.","Chỉnh méo ống kính góc siêu rộng.","Gắn kèm hiệu ứng pháo hoa chói lóa.","Chụp xóa phông bảo toàn cấu trúc.",D,"Cơ cấu mờ trọng tâm của Gaussian mô phỏng lại đúng độ mờ quang học tự nhiên lúc máy ảnh làm xóa phông bối cảnh đằng sau mẫu."
17,"Khi phân tích ảnh dưới góc nhìn Tần số, dải ""tần số thấp"" tường minh đại diện cho những khoảng khu vực như thế nào?","Vùng màu biến đổi rất chậm (như mây, da mịn).","Đường viền của tòa cao ốc cắt ngang qua đường chân trời thẳng.","Những chấm nhiễu hạt bụi bẩn bám dính đen xì ở bên trong vật.","Bộ những đường cong biến hóa gấp khúc không ngừng nghỉ liên tục.",A,"Trong hình ảnh, Tần số thấp biểu thị các vùng màu sắc êm ả, biến đổi trơn tru cực kỳ chậm chạp như cảnh mây trời, vùng da."
18,"Dưới góc nhìn xử lý tín hiệu, việc làm trơn xóa nhòe các hạt biên nhiễu bằng thuật toán bản chất là chúng ta đang áp dụng bộ lọc gì?","Bộ lọc thông cao tần.","Lọc băng thông đa cấp.","Bộ lọc dập dải mốc biên.","Bộ lọc thông thấp.",D,"Lọc mờ triệt tiêu các thành tố chuyển đổi cực nhanh (nhiễu, viền nét) và giữ lại yếu tố biến đổi chậm, mang đặc tính của Bộ lọc thông thấp."
19,"Nghịch lý kinh điển tồn tại dai dẳng khi thi hành các giải pháp làm trơn ảnh là sự đánh đổi không thể tránh khỏi giữa hai yếu tố nào?","Tính toán nhanh và tốn RAM.","Màu sắc nổi khối và màu nền bệt.","Thêm độ sắc bén và giảm kích cỡ.","Khử nhiễu và làm mờ biến mất biên.",D,"Nghịch lý cái bập bênh: hễ vặn bộ lọc ép khử nhiễu thì y như rằng ảnh bị kéo mờ nhòe, trả giá bằng việc máy tính hoàn toàn đánh mất kết nối biên viền."
20,"Giải pháp được bật mí cho tiết kế tiếp giữ vai trò làm ""khắc tinh"" trị nhiễu muối tiêu cực kỳ điêu luyện mang tên kỹ thuật bộ lọc gì?","Mạng tạo cạnh Sobel.","Cơ chế dập nhiễu toàn cục nhanh.","Hiệu chỉnh thông số đường Gamma.","Lọc Trung vị (Median Filter).",D,"Thầy giáo hé lộ bộ Lọc Trung vị mang cơ chế phi tuyến thông minh, chính là khắc tinh khử sạn muối tiêu hoàn hảo mà không đánh nhòe biên."
