ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,,,,
26,Module 3. Sáng tạo nội dung số,3,1,Storyboard thường được sử dụng cho loại nội dung nào?,Nội dung hình ảnh/video,"Nội dung nặng về text (bài viết, báo cáo)",Podcast và nội dung âm thanh,Email marketing,A,Nội dung hình ảnh/video,,,,,,,,,,,,,,,,,,,
27,Module 3. Sáng tạo nội dung số,3,1,Yếu tố nào KHÔNG cần có trong một khung storyboard?,Mô tả chi tiết về chi phí sản xuất,Mô tả hình ảnh/cảnh quay,Lời thoại/văn bản hiển thị,Âm thanh/nhạc nền,A,Mô tả chi tiết về chi phí sản xuất,,,,,,,,,,,,,,,,,,,
28,Module 3. Sáng tạo nội dung số,3,1,"Kỹ thuật nào KHÔNG được đề cập khi ""điền"" nội dung cũ vào dàn ý mới?",Viết lại hoàn toàn nội dung cũ,Chèn (đặt nguyên văn),Rút trích (lấy thông tin cốt lõi),Tóm tắt (rút gọn),A,Viết lại hoàn toàn nội dung cũ,,,,,,,,,,,,,,,,,,,
29,Module 3. Sáng tạo nội dung số,3,1,Lợi ích của việc thiết kế khung nội dung trước khi sản xuất là gì?,"Tiết kiệm thời gian, đảm bảo tính logic, tối ưu hóa tái sử dụng nội dung.",Tăng tính sáng tạo ngẫu hứng trong quá trình sản xuất.,Giúp nội dung trở nên phức tạp và học thuật hơn.,Loại bỏ hoàn toàn nhu cầu biên tập sau sản xuất.,A,"Tiết kiệm thời gian, đảm bảo tính logic, tối ưu hóa tái sử dụng nội dung.",,,,,,,,,,,,,,,,,,,
30,Module 3. Sáng tạo nội dung số,3,2,"Giai đoạn ""biến kế hoạch thành hành động"" hay ""hiện thực hóa bản thiết kế"" là giai đoạn nào?",Biên tập và chuyển đổi nội dung,Rà soát và đánh giá nội dung,Lập kế hoạch nội dung,Phân tích mục tiêu và đối tượng,A,Biên tập và chuyển đổi nội dung,,,,,,,,,,,,,,,,,,,
31,Module 3. Sáng tạo nội dung số,3,2,"""Chuẩn hóa ngôn ngữ, tông giọng, định dạng"" nhằm mục đích gì?","Đảm bảo sự nhất quán, chuyên nghiệp và dễ đọc.",Làm cho nội dung trở nên độc đáo và khác biệt.,Thể hiện cá tính riêng của người viết.,Tăng tốc độ sản xuất nội dung.,A,"Đảm bảo sự nhất quán, chuyên nghiệp và dễ đọc.",,,,,,,,,,,,,,,,,,,
32,Module 3. Sáng tạo nội dung số,3,2,"Kỹ thuật ""Repurpose"" trong biên tập nội dung có nghĩa là gì?",Biến đổi nội dung từ định dạng này sang định dạng khác.,Loại bỏ những phần không cần thiết của nội dung.,Kết hợp các phần nội dung khác nhau lại.,Cập nhật lại các số liệu đã lỗi thời.,A,Biến đổi nội dung từ định dạng này sang định dạng khác.,,,,,,,,,,,,,,,,,,,
33,Module 3. Sáng tạo nội dung số,3,2,Công cụ nào được gợi ý để biên tập hình ảnh/infographic?,"Canva, Adobe Express","Google Docs, Microsoft Word","Audacity, Adobe Audition","CapCut, KineMaster",A,"Canva, Adobe Express",,,,,,,,,,,,,,,,,,,
34,Module 3. Sáng tạo nội dung số,3,2,DaVinci Resolve và Adobe Premiere Pro là công cụ chuyên nghiệp cho việc gì?,Chỉnh sửa video trên máy tính,Chỉnh sửa âm thanh,Thiết kế đồ họa,Soạn thảo văn bản,A,Chỉnh sửa video trên máy tính,,,,,,,,,,,,,,,,,,,
35,Module 3. Sáng tạo nội dung số,3,2,Quá trình biên tập được ví như là gì?,"Quá trình ""điêu khắc"" nội dung để đạt được mục tiêu.","Quá trình ""sao chép"" nội dung từ nguồn khác.","Quá trình ""lắp ráp"" các bộ phận có sẵn.","Quá trình ""vẽ"" một bức tranh hoàn toàn mới.",A,"Quá trình ""điêu khắc"" nội dung để đạt được mục tiêu.",,,,,,,,,,,,,,,,,,,
36,Module 3. Sáng tạo nội dung số,3,2,"Mục tiêu của Module 3: ""Thực thi bản quyền và giấy phép"" là gì?",Hướng dẫn sinh viên cách tạo ra các tác phẩm có bản quyền.,"Giúp sinh viên nhận diện, kiểm tra và áp dụng đúng các quy định về bản quyền.",Dạy sinh viên cách đăng ký bản quyền cho sản phẩm số.,Phổ biến các hình thức xử phạt khi vi phạm bản quyền.,B,"Giúp sinh viên nhận diện, kiểm tra và áp dụng đúng các quy định về bản quyền.",,,,,,,,,,,,,,,,,,,
37,Module 3. Sáng tạo nội dung số,3,2,"Theo tài liệu, bản quyền (Copyright) là gì?",Một loại giấy phép phải đăng ký để được bảo hộ.,Quyền pháp lý tự động trao cho người tạo ra một tác phẩm gốc.,Quyền cho phép người khác sử dụng miễn phí tác phẩm.,Một loại thuế áp dụng cho các sản phẩm sáng tạo.,B,Quyền pháp lý tự động trao cho người tạo ra một tác phẩm gốc.,,,,,,,,,,,,,,,,,,,
38,Module 3. Sáng tạo nội dung số,3,2,Nội dung nào sau đây KHÔNG được bảo hộ bởi bản quyền?,"Bài viết, hình ảnh, video, âm nhạc",Một ý tưởng chưa được thể hiện thành sản phẩm cụ thể,"Phần mềm, phông chữ","Đồ họa, tác phẩm kiến trúc",B,Một ý tưởng chưa được thể hiện thành sản phẩm cụ thể,,,,,,,,,,,,,,,,,,,
39,Module 3. Sáng tạo nội dung số,3,2,"""Miễn phí xem"" trên Internet có đồng nghĩa với ""miễn phí sử dụng"" không?","Có, mọi thứ miễn phí xem đều có thể sử dụng.","Không, việc xem không có nghĩa là có quyền sử dụng lại.",Tùy thuộc vào trang web đăng tải nội dung.,"Chỉ áp dụng với hình ảnh, không áp dụng với video.",B,"Không, việc xem không có nghĩa là có quyền sử dụng lại.",,,,,,,,,,,,,,,,,,,
40,Module 3. Sáng tạo nội dung số,3,2,Watermark (logo mờ) trên hình ảnh là một dấu hiệu của điều gì?,Hình ảnh có chất lượng thấp.,Hình ảnh có khả năng cao đang được bảo hộ bản quyền.,Hình ảnh được cung cấp miễn phí.,Hình ảnh đã được chỉnh sửa.,B,Hình ảnh có khả năng cao đang được bảo hộ bản quyền.,,,,,,,,,,,,,,,,,,,
41,Module 3. Sáng tạo nội dung số,3,2,Việc sao chép nguyên văn một đoạn dài từ blog khác mà không trích dẫn có được coi là vi phạm bản quyền không?,"Không, nếu blog đó không ghi rõ ""bản quyền"".","Có, đây là hành vi sao chép trái phép.","Không, nếu chỉ sao chép một phần nhỏ.",Chỉ vi phạm nếu dùng cho mục đích thương mại.,B,"Có, đây là hành vi sao chép trái phép.",,,,,,,,,,,,,,,,,,,
42,Module 3. Sáng tạo nội dung số,3,2,Sử dụng logo của một thương hiệu khác trong nội dung của bạn mà không được phép có thể dẫn đến hậu quả gì?,Tăng uy tín cho nội dung của bạn.,Gây nhầm lẫn về việc hợp tác và có thể bị kiện.,Không có vấn đề gì nếu bạn ghi nguồn.,Chỉ bị yêu cầu gỡ bỏ logo.,B,Gây nhầm lẫn về việc hợp tác và có thể bị kiện.,,,,,,,,,,,,,,,,,,,
43,Module 3. Sáng tạo nội dung số,3,2,Công cụ nào có thể giúp truy tìm nguồn gốc của một bức ảnh?,Google Translate,Google Reverse Image Search,Google Drive,Google Analytics,B,Google Reverse Image Search,,,,,,,,,,,,,,,,,,,
44,Module 3. Sáng tạo nội dung số,3,2,Creative Commons (CC) là gì?,Một tổ chức chuyên đi kiện các vụ vi phạm bản quyền.,Một loại giấy phép cho phép sử dụng miễn phí tác phẩm dưới một số điều kiện.,"Một kho tài nguyên hoàn toàn miễn phí, không điều kiện.",Một phần mềm giúp kiểm tra bản quyền tự động.,B,Một loại giấy phép cho phép sử dụng miễn phí tác phẩm dưới một số điều kiện.,,,,,,,,,,,,,,,,,,,
45,Module 3. Sáng tạo nội dung số,3,2,Trang web nào sau đây KHÔNG phải là kho tài nguyên hình ảnh miễn phí uy tín được đề cập?,Unsplash,Pinterest,Pexels,Pixabay,B,Pinterest,,,,,,,,,,,,,,,,,,,
46,Module 3. Sáng tạo nội dung số,3,2,YouTube Audio Library cung cấp tài nguyên gì?,Các video hướng dẫn về luật bản quyền.,Âm nhạc/âm thanh miễn phí và an toàn để sử dụng.,Một công cụ để kiểm tra bản quyền video.,Danh sách các bài hát bị cấm sử dụng.,B,Âm nhạc/âm thanh miễn phí và an toàn để sử dụng.,,,,,,,,,,,,,,,,,,,
47,Module 3. Sáng tạo nội dung số,3,2,Hậu quả của việc vi phạm bản quyền có thể là gì?,Bị phạt tiền hành chính ngay lập tức.,"Bị gỡ bỏ nội dung, khóa tài khoản, kiện tụng.",Bị cấm sử dụng internet vĩnh viễn.,Không có hậu quả gì nghiêm trọng.,B,"Bị gỡ bỏ nội dung, khóa tài khoản, kiện tụng.",,,,,,,,,,,,,,,,,,,
48,Module 3. Sáng tạo nội dung số,3,2,Loại giấy phép nào có các quy định nghiêm ngặt nhất?,Creative Commons (CC),Bản quyền đầy đủ (All Rights Reserved - ©),Public Domain (Miền công cộng),Royalty-Free,B,Bản quyền đầy đủ (All Rights Reserved - ©),,,,,,,,,,,,,,,,,,,
49,Module 3. Sáng tạo nội dung số,3,2,Public Domain (Miền công cộng) có nghĩa là gì?,Tác phẩm thuộc sở hữu của chính phủ.,Tác phẩm không còn được bảo hộ bản quyền và có thể sử dụng tự do.,Tác phẩm chỉ được sử dụng cho mục đích công cộng.,Tác phẩm được cung cấp miễn phí nhưng phải ghi nguồn.,B,Tác phẩm không còn được bảo hộ bản quyền và có thể sử dụng tự do.,,,,,,,,,,,,,,,,,,,
50,Module 3. Sáng tạo nội dung số,3,2,Bộ lọc quyền sử dụng (usage rights) có trong công cụ tìm kiếm nào?,Facebook Search,Google Advanced Search,YouTube Search,Bing Search,B,Google Advanced Search,,,,,,,,,,,,,,,,,,,
51,Module 3. Sáng tạo nội dung số,3,2,"Khi tra cứu giấy phép, thông tin nào KHÔNG cần thiết phải ghi lại?",Tên tác giả/nguồn.,Cảm nhận cá nhân về tác phẩm.,Loại giấy phép.,Đường dẫn gốc.,B,Cảm nhận cá nhân về tác phẩm.,,,,,,,,,,,,,,,,,,,
52,Module 3. Sáng tạo nội dung số,3,2,Lợi ích của việc kiểm tra giấy phép là gì?,Tăng tốc độ tìm kiếm tài nguyên.,"Tôn trọng tác giả, bảo vệ bản thân khỏi rủi ro pháp lý.",Giảm chi phí mua bản quyền.,Giúp nội dung được nhiều người xem hơn.,B,"Tôn trọng tác giả, bảo vệ bản thân khỏi rủi ro pháp lý.",,,,,,,,,,,,,,,,,,,
53,Module 3. Sáng tạo nội dung số,3,2,"Quy tắc ghi nguồn ""TRAS"" là viết tắt của những từ nào?","Time, Region, Author, Style","Title, Creator, Attribution, Source","Type, Rating, Artist, Size","Text, Resolution, Audio, Speed",B,"Title, Creator, Attribution, Source",,,,,,,,,,,,,,,,,,,
54,Module 3. Sáng tạo nội dung số,3,2,"Theo quy tắc ""TRAS"", chữ ""A"" (Attribution) yêu cầu điều gì?",Ghi tên tác giả.,Dẫn link đến nguồn gốc của tác phẩm.,Ghi tên tác phẩm.,Ghi rõ loại giấy phép.,B,Dẫn link đến nguồn gốc của tác phẩm.,,,,,,,,,,,,,,,,,,,
55,Module 3. Sáng tạo nội dung số,3,2,Khi nào bạn cần gửi email xin phép sử dụng nội dung?,Mỗi khi bạn muốn sử dụng tác phẩm của người khác.,Khi muốn sử dụng ngoài điều kiện của giấy phép hoặc nội dung có bản quyền đầy đủ.,Chỉ khi bạn muốn sử dụng cho mục đích thương mại.,Khi bạn không tìm thấy tên tác giả.,B,Khi muốn sử dụng ngoài điều kiện của giấy phép hoặc nội dung có bản quyền đầy đủ.,,,,,,,,,,,,,,,,,,,
56,Module 3. Sáng tạo nội dung số,3,2,Nội dung nào KHÔNG cần có trong một email xin phép bản quyền?,Giới thiệu bản thân và mục đích sử dụng.,Yêu cầu tác giả cung cấp các tác phẩm khác.,Mô tả chi tiết nội dung muốn sử dụng.,"Hỏi rõ về điều khoản, phí sử dụng (nếu có).",B,Yêu cầu tác giả cung cấp các tác phẩm khác.,,,,,,,,,,,,,,,,,,,
57,Module 3. Sáng tạo nội dung số,3,2,"Trong trường hợp không thể liên hệ tác giả hoặc bị từ chối cấp phép, giải pháp an toàn là gì?",Cứ sử dụng và hy vọng không bị phát hiện.,Tìm nội dung thay thế từ nguồn có bản quyền rõ ràng.,Sử dụng một phần nhỏ của tác phẩm.,Chỉnh sửa tác phẩm gốc để nó trở nên khác đi.,B,Tìm nội dung thay thế từ nguồn có bản quyền rõ ràng.,,,,,,,,,,,,,,,,,,,
58,Module 3. Sáng tạo nội dung số,3,2,Việc tuân thủ bản quyền giúp xây dựng điều gì?,Một môi trường cạnh tranh khốc liệt.,Một hệ sinh thái sáng tạo công bằng và bền vững.,Rào cản cho những người mới sáng tạo.,Sự độc quyền cho các nhà sáng tạo lớn.,B,Một hệ sinh thái sáng tạo công bằng và bền vững.,,,,,,,,,,,,,,,,,,,
59,Module 3. Sáng tạo nội dung số,3,2,Tại sao một người làm nội dung lại cần biết lập trình?,Để có thể tự sửa chữa máy tính khi gặp sự cố.,"Để tự động hóa công việc, tạo nội dung tương tác.",Để trở thành một hacker chuyên nghiệp.,Để thiết kế các font chữ độc đáo.,B,"Để tự động hóa công việc, tạo nội dung tương tác.",,,,,,,,,,,,,,,,,,,
60,Module 3. Sáng tạo nội dung số,3,3,Lý do chọn Python là gì?,Tốc độ thực thi nhanh nhất.,"Dễ học, cộng đồng lớn, đa năng.",Bảo mật cao nhất.,Ngôn ngữ lập trình duy nhất có thể tạo website.,B,"Dễ học, cộng đồng lớn, đa năng.",,,,,,,,,,,,,,,,,,,
61,Module 3. Sáng tạo nội dung số,3,3,Công cụ online nào được gợi ý để bắt đầu lập trình Python mà không cần cài đặt?,VS Code,Google Colab,PyCharm,Sublime Text,B,Google Colab,,,,,,,,,,,,,,,,,,,
62,Module 3. Sáng tạo nội dung số,3,3,"""Biến"" (Variable) trong lập trình dùng để làm gì?",Thực hiện các phép tính toán học.,"Lưu trữ thông tin (văn bản, số, logic).",Lặp lại một hành động nhiều lần.,Đưa ra quyết định dựa trên điều kiện.,B,"Lưu trữ thông tin (văn bản, số, logic).",,,,,,,,,,,,,,,,,,,
63,Module 3. Sáng tạo nội dung số,3,3,Cấu trúc dữ liệu nào dùng để tổ chức một chuỗi các mục?,Variable (Biến),Dictionary (Từ điển),List (Danh sách),If-else (Câu lệnh điều kiện),C,List (Danh sách),,,,,,,,,,,,,,,,,,,
64,Module 3. Sáng tạo nội dung số,3,3,"""Dictionary"" (Từ điển) trong Python dùng để làm gì?",Sắp xếp dữ liệu theo thứ tự alphabet.,Lưu trữ một danh sách các số.,Tổ chức dữ liệu có cấu trúc theo cặp key-value.,Dịch văn bản từ ngôn ngữ này sang ngôn ngữ khác.,C,Tổ chức dữ liệu có cấu trúc theo cặp key-value.,,,,,,,,,,,,,,,,,,,
65,Module 3. Sáng tạo nội dung số,3,3,"Vòng lặp ""for"" được sử dụng để làm gì?",Kiểm tra xem một điều kiện có đúng hay không.,Dừng chương trình khi có lỗi xảy ra.,Xử lý tác vụ lặp đi lặp lại trên một chuỗi dữ liệu.,Lưu trữ một giá trị duy nhất.,C,Xử lý tác vụ lặp đi lặp lại trên một chuỗi dữ liệu.,,,,,,,,,,,,,,,,,,,
66,Module 3. Sáng tạo nội dung số,3,3,"Câu lệnh ""if-else"" giúp chương trình làm gì?",Lấy dữ liệu đầu vào từ người dùng.,Lặp lại một đoạn mã nhiều lần.,Đưa ra quyết định dựa trên một điều kiện.,In dữ liệu ra màn hình.,C,Đưa ra quyết định dựa trên một điều kiện.,,,,,,,,,,,,,,,,,,,
67,Module 3. Sáng tạo nội dung số,3,3,"Các khái niệm Biến, List, Dictionary, For, If-else được ví như là gì?",Mái nhà của một công trình.,Những bức tường của một ngôi nhà.,Những viên gạch nền tảng để xây dựng ứng dụng.,Cánh cửa để đi vào thế giới lập trình.,C,Những viên gạch nền tảng để xây dựng ứng dụng.,,,,,,,,,,,,,,,,,,,
68,Module 3. Sáng tạo nội dung số,3,3,Quy trình phát triển phần mềm được giới thiệu gồm mấy khâu chính?,4 khâu: Lên ý tưởng - Thiết kế - Lập trình - Bảo trì.,2 khâu: Lập trình - Chạy thử.,3 khâu: Thiết kế - Cài đặt - Kiểm thử.,1 khâu: Viết code.,C,3 khâu: Thiết kế - Cài đặt - Kiểm thử.,,,,,,,,,,,,,,,,,,,
69,Module 3. Sáng tạo nội dung số,3,3,"Giai đoạn ""Thiết kế"" trong phát triển phần mềm nhấn mạnh điều gì?",Tìm lỗi trong chương trình đã viết.,Viết code càng nhanh càng tốt.,"Lập kế hoạch trước khi code, ""Đo 7 lần, cắt 1 lần"".",Tối ưu hóa hiệu suất của chương trình.,C,"Lập kế hoạch trước khi code, ""Đo 7 lần, cắt 1 lần"".",,,,,,,,,,,,,,,,,,,
70,Module 3. Sáng tạo nội dung số,3,3,"""Pseudocode"" (mã giả) là gì?",Tên của một phần mềm hỗ trợ viết code.,"Một ngôn ngữ lập trình giả, không thể chạy được.",Viết các bước thực hiện của thuật toán bằng ngôn ngữ tự nhiên.,Một loại lỗi thường gặp trong lập trình.,C,Viết các bước thực hiện của thuật toán bằng ngôn ngữ tự nhiên.,,,,,,,,,,,,,,,,,,,
71,Module 3. Sáng tạo nội dung số,3,3,"Giai đoạn ""Cài đặt"" (Implementation) trong phát triển phần mềm là gì?",Giai đoạn thiết kế giao diện cho phần mềm.,Giai đoạn cài đặt phần mềm lên máy tính người dùng.,Giai đoạn chuyển thể bản thiết kế thành các dòng code thực tế.,Giai đoạn kiểm tra lỗi của phần mềm.,C,Giai đoạn chuyển thể bản thiết kế thành các dòng code thực tế.,,,,,,,,,,,,,,,,,,,
72,Module 3. Sáng tạo nội dung số,3,3,"Mục đích chính của giai đoạn ""Kiểm thử"" (Testing) là gì?",Viết tài liệu hướng dẫn sử dụng.,Trình diễn sản phẩm cho khách hàng.,Đảm bảo sản phẩm hoạt động đúng và tìm ra lỗi.,Quảng bá sản phẩm ra thị trường.,C,Đảm bảo sản phẩm hoạt động đúng và tìm ra lỗi.,,,,,,,,,,,,,,,,,,,
73,Module 3. Sáng tạo nội dung số,3,3,Việc tuân thủ quy trình phát triển phần mềm mang lại lợi ích gì?,"Chỉ phù hợp với các dự án lớn của Google, Facebook.",Làm cho quy trình trở nên phức tạp và tốn thời gian hơn.,"Giảm lỗi, dễ bảo trì, làm việc nhóm hiệu quả.",Hạn chế sự sáng tạo của lập trình viên.,C,"Giảm lỗi, dễ bảo trì, làm việc nhóm hiệu quả.",,,,,,,,,,,,,,,,,,,
