ID,CourseContentId,IdContent,QuestionType,QuestionContent,AAnsver,BAnswer,CAnswer,DAnswer,Answer,ResultAnswer,,,,,,,,,,,,,,,,
21,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực bán lẻ, AI có thể giúp gia tăng doanh số bằng cách nào?",Giảm giá thành sản phẩm liên tục.,Dự báo các hoạt động làm tăng doanh số bán hàng (ví dụ: phương thức trả sau).,Cải thiện hiệu suất của nhân viên bán hàng.,Tối ưu hóa không gian trưng bày sản phẩm.,B,Dự báo các hoạt động làm tăng doanh số bán hàng (ví dụ: phương thức trả sau).,,,,,,,,,,,,,,,,
22,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong đời sống cá nhân, ứng dụng AI trên thiết bị thông minh có thể hỗ trợ nhiệm vụ gì?",Xây dựng mô hình kinh doanh cá nhân.,Theo dõi sức khỏe hàng ngày và nhắc nhở lịch công tác.,Lập trình các ứng dụng di động phức tạp.,Phân tích dữ liệu lớn cá nhân.,B,Theo dõi sức khỏe hàng ngày và nhắc nhở lịch công tác.,,,,,,,,,,,,,,,,
23,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Công nghệ nào là ví dụ về hệ thống thông minh được điều khiển bằng giọng nói và được tích hợp vào Windows 10?,Google Drive.,Siri.,Alexa.,Cortana.,D,Cortana.,,,,,,,,,,,,,,,,
24,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Cortana được tích hợp vào Windows 10 cho phép thực hiện chức năng tự động nào?,Tự động kết nối với mạng ngoại vi.,Tìm kiếm tập tin trên thiết bị và mở ứng dụng.,Tự động sao lưu toàn bộ dữ liệu máy tính.,Tự động chặn các phần mềm độc hại.,B,Tìm kiếm tập tin trên thiết bị và mở ứng dụng.,,,,,,,,,,,,,,,,
25,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Natural Language Generation (NLG), một lĩnh vực con của AI, được ứng dụng điển hình trong việc gì?",Tạo ra các mô hình 3D.,Phân tích tín hiệu điện toán đám mây.,Phân loại văn bản (ví dụ: thư rác - spam).,Lập trình rô bốt công nghiệp.,C,Phân loại văn bản (ví dụ: thư rác - spam).,,,,,,,,,,,,,,,,
26,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Speech recognition (nhận dạng giọng nói) là công nghệ mà ở đó máy tính được sử dụng để làm gì?,Tạo ra các bản sao kỹ thuật số.,Nắm bắt các cuộc trò chuyện với con người và chuyển đổi thành các mệnh lệnh.,Tối ưu hóa tốc độ Internet.,Phân tích các giao dịch chuỗi khối.,B,Nắm bắt các cuộc trò chuyện với con người và chuyển đổi thành các mệnh lệnh.,,,,,,,,,,,,,,,,
27,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Ứng dụng Microsoft Connected Life có mục đích gì trong hệ thống tự động hóa nhà thông minh?,"Cho phép các thiết bị gia dụng (đèn, TV) được điều khiển từ bất kỳ thiết bị Windows nào.",Cung cấp dịch vụ truyền hình trả phí qua Internet.,Tự động cập nhật phần mềm cho tất cả thiết bị.,Quản lý tài khoản ngân hàng từ xa.,A,"Cho phép các thiết bị gia dụng (đèn, TV) được điều khiển từ bất kỳ thiết bị Windows nào.",,,,,,,,,,,,,,,,
28,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,AI trong lĩnh vực nông nghiệp ứng dụng Thị giác máy tính (Computer Vision) kết hợp Học sâu (Deep Learning) để theo dõi điều gì?,Độ phức tạp của chuỗi cung ứng.,Tình trạng phát triển của cây trồng và sâu bệnh.,Tần suất gieo hạt của nông dân.,Xu hướng thị trường cà phê toàn cầu.,B,Tình trạng phát triển của cây trồng và sâu bệnh.,,,,,,,,,,,,,,,,
29,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,Ứng dụng AI vào hệ thống nhà thông minh trong tương lai sẽ học thói quen cuộc sống cá nhân của người dùng để làm gì?,Đề xuất các khóa học trực tuyến phù hợp.,Tự động quản lý tài khoản ngân hàng.,Thay thế người dùng để điều khiển các thiết bị phù hợp theo thói quen.,Đưa ra các cảnh báo về an ninh mạng.,C,Thay thế người dùng để điều khiển các thiết bị phù hợp theo thói quen.,,,,,,,,,,,,,,,,
30,Module 6. Ứng dụng trí tuệ nhân tạo,6,1,"Trong lĩnh vực nông nghiệp, mục tiêu của việc ứng dụng AI là gì?",Giảm sự phụ thuộc vào các nguồn tài nguyên tái tạo.,Tăng cường quảng bá nông sản trên mạng xã hội.,Dự đoán năng suất trên đồng ruộng và phát hiện sâu bệnh.,Tiêu chuẩn hóa quy trình cấp giấy phép kinh doanh nông nghiệp.,C,Dự đoán năng suất trên đồng ruộng và phát hiện sâu bệnh.,,,,,,,,,,,,,,,,
31,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực đầu tiên và cơ bản nhất mà bất kỳ ai sống và làm việc trong môi trường AI phải có là gì?,Lập trình các module AI.,Năng lực nhận ra AI (AI Recognition).,Năng lực đánh giá tri thức.,Năng lực bảo mật dữ liệu.,B,Năng lực nhận ra AI (AI Recognition).,,,,,,,,,,,,,,,,
32,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"""Khả năng thảo luận và phân tích những đặc điểm để tạo nên thực thể 'thông minh', bao gồm sự khác biệt giữa con người, động vật và máy thông minh"" thuộc năng lực nào?",Năng lực trình bày.,Hiểu biết về sự thông minh (Understanding Intelligence).,Năng lực hành động và phản ứng.,Năng lực suy diễn.,B,Hiểu biết về sự thông minh (Understanding Intelligence).,,,,,,,,,,,,,,,,
33,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực Kiến thức liên ngành (Interdisciplinarity) đòi hỏi nhận ra điều gì?,Sự khác biệt giữa dữ liệu cấu trúc và phi cấu trúc.,Các thuật toán học sâu phức tạp.,"Có nhiều cách để suy nghĩ và phát triển máy ""thông minh"".",Các tiêu chuẩn đạo đức trong sử dụng AI.,C,"Có nhiều cách để suy nghĩ và phát triển máy ""thông minh"".",,,,,,,,,,,,,,,,
34,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Công nghệ AI hẹp (Narrow AI) mô phỏng theo trí thông minh của con người trong phạm vi nào?,Nhiều lĩnh vực khác nhau.,Tầm cỡ toàn cầu.,Một lĩnh vực cụ thể.,Tất cả các lĩnh vực học thuật.,C,Một lĩnh vực cụ thể.,,,,,,,,,,,,,,,,
35,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực xác định được các ưu điểm và nhược điểm của công nghệ AI được gọi là gì?,Điểm mạnh và điểm yếu của AI.,Năng lực đánh giá rủi ro.,Năng lực sáng tạo.,Năng lực quản lý dự án.,A,Điểm mạnh và điểm yếu của AI.,,,,,,,,,,,,,,,,
36,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"""Hình dung được các ứng dụng khả thi trong tương lai của AI và đánh giá được tác động của các ứng dụng đó đối với thế giới"" thuộc năng lực nào?",Năng lực giải quyết vấn đề số.,Năng lực lập trình.,Hình dung được tương lai của AI.,Năng lực quản lý danh tính số.,C,Hình dung được tương lai của AI.,,,,,,,,,,,,,,,,
37,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực trình bày trong AI liên quan đến việc gì?,Sử dụng phần mềm trình chiếu.,Giao tiếp hiệu quả trên môi trường số.,Biểu diễn tri thức và trình bày các sơ đồ/mô hình biểu diễn tri thức.,Tổng hợp thông tin từ nhiều nguồn.,C,Biểu diễn tri thức và trình bày các sơ đồ/mô hình biểu diễn tri thức.,,,,,,,,,,,,,,,,
38,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực ra quyết định trong AI liên quan đến việc gì?,Tự động hóa quy trình nghiệp vụ.,Nhận biết và mô tả về cách máy tính lập luận và đưa ra quyết định.,Đánh giá tính chính xác của dữ liệu lớn.,Phân tích các rào cản pháp lý.,B,Nhận biết và mô tả về cách máy tính lập luận và đưa ra quyết định.,,,,,,,,,,,,,,,,
39,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Hiểu các bước liên quan đến học máy (Machine Learning) thuộc năng lực nào?,Năng lực lập trình căn bản.,Năng lực hiểu biết về các bước học máy trong AI.,Năng lực phân tích dữ liệu thời gian thực.,Năng lực cấu hình hệ thống.,B,Năng lực hiểu biết về các bước học máy trong AI.,,,,,,,,,,,,,,,,
40,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Vai trò của con người trong AI được thể hiện qua các khía cạnh nào?,Giám sát hoạt động của rô bốt.,Thiết kế phần cứng và thiết bị ngoại vi.,Vận hành hệ thống điện toán đám mây.,"Lập trình, lựa chọn mô hình và tinh chỉnh hệ thống AI.",D,"Lập trình, lựa chọn mô hình và tinh chỉnh hệ thống AI.",,,,,,,,,,,,,,,,
41,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Khái niệm cơ bản về kiến thức dữ liệu và vai trò của dữ liệu đối với các hệ thống AI thuộc năng lực nào?,Năng lực giao tiếp.,Kiến thức về dữ liệu.,Năng lực quản lý tri thức.,Năng lực suy diễn.,B,Kiến thức về dữ liệu.,,,,,,,,,,,,,,,,
42,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực Học từ dữ liệu đòi hỏi nhận ra điều gì?,Con người là nguồn gốc duy nhất của dữ liệu.,Các thuật toán luôn chính xác tuyệt đối.,Máy tính thường học hỏi từ dữ liệu.,Dữ liệu luôn cần phải được mã hóa.,C,Máy tính thường học hỏi từ dữ liệu.,,,,,,,,,,,,,,,,
43,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực về việc học từ dữ liệu nhấn mạnh vào quy trình nào?,Quy trình bảo trì và nâng cấp phần mềm.,Quy trình học từ dữ liệu của các hệ thống AI để làm giàu thêm trí tuệ của máy tính.,Quy trình kiểm soát dấu chân số.,Quy trình xây dựng thương hiệu cá nhân.,B,Quy trình học từ dữ liệu của các hệ thống AI để làm giàu thêm trí tuệ của máy tính.,,,,,,,,,,,,,,,,
44,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Tại sao cần huấn luyện hệ thống AI trên tập dữ liệu sạch?,Để đảm bảo tính bảo mật.,Để giảm chi phí lưu trữ.,Vì chất lượng của tập dữ liệu ban đầu có thể ảnh hưởng đến kết quả của thuật toán.,Để tối ưu hóa tốc độ xử lý của máy tính.,C,Vì chất lượng của tập dữ liệu ban đầu có thể ảnh hưởng đến kết quả của thuật toán.,,,,,,,,,,,,,,,,
45,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực Hành động & Phản ứng trong AI là gì?,Khả năng tự động phản hồi email.,Khả năng dự đoán xu hướng thị trường.,Hiểu rằng một số hệ thống AI có khả năng hành động theo những gì nó cảm nhận từ môi trường.,Khả năng tự động sửa lỗi kỹ thuật.,C,Hiểu rằng một số hệ thống AI có khả năng hành động theo những gì nó cảm nhận từ môi trường.,,,,,,,,,,,,,,,,
46,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Hệ thống AI nhận biết thế giới bằng cách nào?,Thông qua Internet vạn vật.,Bằng cách sử dụng năng lực trình bày.,Bằng cách sử dụng cảm biến để cảm nhận các tác nhân từ môi trường xung quanh.,Thông qua việc chia sẻ dữ liệu cộng tác.,C,Bằng cách sử dụng cảm biến để cảm nhận các tác nhân từ môi trường xung quanh.,,,,,,,,,,,,,,,,
47,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Để làm việc trong lĩnh vực Phân tích dữ liệu lớn (BDA), kỹ năng chuyên môn nào sau đây là quan trọng?",Ngôn ngữ lập trình C#.,Thiết kế đồ họa.,Trực quan hóa dữ liệu (Data visualization).,Giao tiếp ngoại tuyến.,C,Trực quan hóa dữ liệu (Data visualization).,,,,,,,,,,,,,,,,
48,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Năng lực nào đòi hỏi hiểu được quy trình huấn luyện trên tập dữ liệu sạch, kiểm thử và tinh chỉnh mô hình?",Năng lực lập trình.,Năng lực trình bày.,Năng lực về Hành động & Phản ứng.,Năng lực suy diễn từ dữ liệu.,D,Năng lực suy diễn từ dữ liệu.,,,,,,,,,,,,,,,,
49,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Năng lực nào của người lao động trong lĩnh vực BDA được xem là cực kỳ quan trọng do tính đa ngành của công việc?,Năng lực kỹ thuật.,Năng lực nhận thức.,Năng lực chức năng.,Năng lực xã hội (kỹ năng con người).,D,Năng lực xã hội (kỹ năng con người).,,,,,,,,,,,,,,,,
50,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Khung năng lực số DigCompEdu của châu Âu được thiết kế cho đối tượng nào?,Sinh viên đại học.,Các nhà khoa học dữ liệu.,Các nhà giáo dục ở tất cả các mức giáo dục.,Công dân số toàn cầu.,C,Các nhà giáo dục ở tất cả các mức giáo dục.,,,,,,,,,,,,,,,,
51,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Để trở thành chuyên gia AI, kiến thức chuyên môn về Toán học nào là cần thiết?",Hình học phẳng.,"Đại số, xác suất, thống kê và đồ thị.",Số học cơ bản.,Lượng giác học.,B,"Đại số, xác suất, thống kê và đồ thị.",,,,,,,,,,,,,,,,
52,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Kỹ năng chuyên sâu nào sau đây là yêu cầu cho chuyên gia AI?,Viết blog và quản lý mạng xã hội.,Thiết kế giao diện người dùng.,Thành thạo các thuật toán Học máy (Machine Learning) và Học sâu (Deep Learning).,Quản lý kho hàng và chuỗi cung ứng.,C,Thành thạo các thuật toán Học máy (Machine Learning) và Học sâu (Deep Learning).,,,,,,,,,,,,,,,,
53,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Công nghệ lõi nào được VAIS sử dụng để chuyển giọng nói tiếng Việt thành văn bản?,Text To Speech.,Speech To Text.,Natural Language Generation.,Computational Thinking.,B,Speech To Text.,,,,,,,,,,,,,,,,
54,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,VBEE là nền tảng công nghệ lõi gì đối với tiếng Việt?,Chuyển giọng nói thành văn bản.,Chuyển văn bản thành giọng nói trí tuệ nhân tạo có cảm xúc.,Nhận dạng hình ảnh.,Phân tích cảm xúc khách hàng.,B,Chuyển văn bản thành giọng nói trí tuệ nhân tạo có cảm xúc.,,,,,,,,,,,,,,,,
55,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Google Cloud Platform cung cấp dịch vụ nào hỗ trợ phát triển ứng dụng AI?,Google Drive.,Google Docs.,Cloud Machine Learning Engine.,Google Maps.,C,Cloud Machine Learning Engine.,,,,,,,,,,,,,,,,
56,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Trong kiến trúc phân tích dữ liệu thời gian thực (Realtime Data Analytics), lớp nào bao gồm các ứng dụng của người dùng cuối?",Lớp Dữ liệu (Data).,Lớp Phân tích (Analytics).,Lớp Tích hợp (Integration).,Lớp Quyết định (Decisions).,D,Lớp Quyết định (Decisions).,,,,,,,,,,,,,,,,
57,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Các công cụ phân tích dữ liệu phổ biến bao gồm những công cụ nào sau đây?,"Microsoft Word, Excel, PowerPoint.","R Programming, Apache Hadoop, Apache Storm, MongoDB.","Google Chrome, Safari, Firefox.","Adobe Photoshop, Illustrator, Premiere Pro.",B,"R Programming, Apache Hadoop, Apache Storm, MongoDB.",,,,,,,,,,,,,,,,
58,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,"Trong phân tích dữ liệu lớn (Big Data Analytics), người lao động cần kỹ năng gì liên quan đến kinh doanh?",Kỹ năng tiếp thị đa kênh.,Am hiểu lĩnh vực kinh doanh và các công cụ Big Data.,Kỹ năng quản lý tài chính cá nhân.,Kỹ năng thiết kế sản phẩm mới.,B,Am hiểu lĩnh vực kinh doanh và các công cụ Big Data.,,,,,,,,,,,,,,,,
59,Module 6. Ứng dụng trí tuệ nhân tạo,6,2,Phân tích dữ liệu thời gian thực là ứng dụng các kỹ thuật nào để phát hiện các mẫu và tri thức từ dữ liệu theo thời gian thực?,Kiểm soát dấu chân số và an sinh số.,"Khai phá dữ liệu (Data Mining), Máy học (Machine Learning) và Trí tuệ nhân tạo (Artificial Intelligence).",Phát triển phần mềm văn phòng.,Tối ưu hóa công cụ tìm kiếm (SEO).,B,"Khai phá dữ liệu (Data Mining), Máy học (Machine Learning) và Trí tuệ nhân tạo (Artificial Intelligence).",,,,,,,,,,,,,,,,
60,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong lĩnh vực tài chính thông minh, ứng dụng AI có thể giúp phát hiện các mối đe dọa nào?",Xâm nhập mạng máy tính.,Vi phạm bản quyền nội dung.,Gian lận và hoạt động giao dịch bất hợp pháp.,Thay đổi quy trình quản lý hồ sơ.,C,Gian lận và hoạt động giao dịch bất hợp pháp.,,,,,,,,,,,,,,,,
61,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Các thư viện (libraries) nào sau đây được sử dụng phổ biến trong lập trình AI/Machine Learning?,"Laravel, Django, Ruby on Rails.","Bootstrap, JQuery, Vue.js.","AutoCAD, SAP, Salesforce.","NumPy, Pandas, Scikit-Learn.",D,"NumPy, Pandas, Scikit-Learn.",,,,,,,,,,,,,,,,
62,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Yếu tố nào sau đây được xem là ""chất keo"" kết hợp các ứng dụng người dùng cuối và công cụ phân tích trong kiến trúc Realtime Data Analytics?",Lớp Dữ liệu.,Lớp Quyết định.,Lớp Tích hợp (Integration).,Lớp Phân tích.,C,Lớp Tích hợp (Integration).,,,,,,,,,,,,,,,,
63,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,"Trong lĩnh vực kiểm soát đám đông, AI được sử dụng để làm gì?",Cấp phép hoạt động sự kiện.,Dự đoán chuyển động của đám đông và đưa ra quyết định ngay lập tức.,Lập kế hoạch tài chính cho sự kiện.,Đánh giá chất lượng dịch vụ công.,B,Dự đoán chuyển động của đám đông và đưa ra quyết định ngay lập tức.,,,,,,,,,,,,,,,,
64,Module 6. Ứng dụng trí tuệ nhân tạo,6,3,Lĩnh vực nào sau đây được xem là một trong những ứng dụng quan trọng nhất của phân tích dữ liệu lớn theo thời gian thực?,Thương mại điện tử.,Giáo dục từ xa.,Giao thông thông minh.,Nông nghiệp hữu cơ.,C,Giao thông thông minh.,,,,,,,,,,,,,,,,
